bl_bi24latitude,bl_bi24longitude,bl_dw15,bl_dw16,bl_dw19,bl_dw20,bl_dw21,bl_dw23,bl_dw25,bl_dw31,bl_dw32,bl_dw33,bl_dw34,bl_dw36,bl_dw39,bl_dw40,bl_dw41,bl_dw42,bl_dw44,bl_dw45,bl_dw46,bl_dw47,bl_dw52,bl_dw53,bl_dw54,bl_dw56,bl_dw57,bl_dw59,bl_dw61,bl_dw63,bl_dw64,bl_dw72,bl_dw73,bl_sd13,bl_sd14,bl_sd15,bl_sd24_piazza,bl_sd24_leghar,bl_sd26,bl_sd27,bl_sd28,bl_sd33,bl_sd35,bl_sd36,bl_sd43,bl_sd45,bl_sd46,bl_sd48,bl_sd49,bl_sd50,bl_sd51,a01
9.0409727,38.393757,Home Piped Water,In own yard/plot,No,,Yes,No,Satisfied,Yes,,,,,Pit latrine,Deep (more than 3 meters),No,,Dumped,5,No,,Discharge in open area/compound,No,No,Yes,Utility company/government,Paper bill,No,2,4,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe",Rarely,75,75,20,20,75,Yes,4,Satisfied,Yes,4,20,Satisfied,Satisfied,Satisfied,Satisfied,28
9.0409632,38.396564,Home Piped Water,Outside the yard,Yes,3,No,No,Satisfied,Yes,,,,,No facility/bush,,No,,Dumped,2,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,5,5,Electric connection through power lines/solar power,Fire Wood,Gravel,"Yes, somewhat safe","Yes, most of the time",90,90,20,20,90,No,4,Satisfied,No,4,20,Don't know,Don't know,Don't know,Don't know,29
9.0415277,38.392086,Home Piped Water,In own yard/plot,No,,No,No,Satisfied,Yes,,,,,Pit latrine,Shallow (less than 3 meters),No,,Burning,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,0,,Electric connection through power lines/solar power,Electricity,Dirt,"Yes, somewhat safe",Rarely,90,90,15,15,90,Yes,4,Satisfied,Yes,3,20,Satisfied,Satisfied,Satisfied,Satisfied,30
9.0454998,38.393963,Home Piped Water,Outside the yard,Yes,5,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,5,4,Electric connection through power lines/solar power,Fire Wood,Gravel,"Yes, somewhat safe","Yes, always",60,70,5,5,60,No,2,Satisfied,No,3,15,Satisfied,Satisfied,Satisfied,Satisfied,31
9.0418339,38.39463,Home Piped Water,Outside the yard,Yes,5,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),Yes,2,Dumped,5,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,4,5,Electric connection through power lines/solar power,"Coal, Lignite",Dirt,"Yes, somewhat safe",Rarely,90,90,15,15,90,Yes,4,Neutral,No,4,20,Satisfied,Satisfied,Satisfied,Satisfied,32
9.0431194,38.392815,Home Piped Water,In own yard/plot,Yes,3,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,5,4,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe",Rarely,90,90,15,15,90,Yes,4,Satisfied,Yes,4,25,Satisfied,Dissatisfied,Satisfied,Satisfied,33
9.0421314,38.394512,Home Piped Water,In own yard/plot,No,,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,3,2,Electric connection through power lines/solar power,"Coal, Lignite",Dirt,"Yes, somewhat safe",Rarely,60,60,15,15,60,Yes,4,Satisfied,Yes,3,20,Satisfied,Satisfied,Satisfied,Satisfied,34
9.0465536,38.397034,Home Piped Water,In own yard/plot,Yes,2,No,Yes,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),Yes,5,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Other (specify),Yes,2,7,Electric connection through power lines/solar power,"Coal, Lignite",Dirt,"Yes, somewhat safe","No, not at all",90,90,10,10,90,No,2.5,Don't know,No,2,20,Don't know,Don't know,Don't know,Don't know,35
9.0425787,38.39748,Home Piped Water,Outside the yard,Yes,3,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),Yes,4,Dumped,15,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,2,5,Electric connection through power lines/solar power,"Coal, Lignite",Dirt,"Yes, somewhat safe",Rarely,90,95,15,15,90,Yes,3,Satisfied,No,4,15,Don't know,Don't know,Don't know,Don't know,36
9.0420647,38.38942,Home Piped Water,Outside the yard,Yes,2,No,No,Satisfied,Yes,,,,,No facility/bush,,No,,Dumped,5,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,4,5,Electric connection through power lines/solar power,Fire Wood,Gravel,"Yes, somewhat safe","Yes, most of the time",45,45,15,15,45,No,2,Satisfied,Yes,3,20,Satisfied,Satisfied,Satisfied,Satisfied,37
9.0403709,38.393475,Home Piped Water,Outside the yard,Yes,2,No,No,Neutral,Yes,,,,,No facility/bush,,No,,Dumped,5,No,,A hole in the yard or outside,No,No,No,,,,,,Oil/kerosene lantern,Fire Wood,Dirt,"Yes, somewhat safe","No, not at all",-888,-888,20,20,60,No,2,Don't know,Yes,3,30,Satisfied,Satisfied,Satisfied,Satisfied,38
9.0408678,38.389973,Home Piped Water,Outside the yard,No,,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,2,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,5,5,Electric connection through power lines/solar power,Fire Wood,Gravel,"Yes, somewhat safe","Yes, most of the time",90,100,15,15,90,No,4,Neutral,Yes,1,10,Satisfied,Satisfied,Satisfied,Satisfied,39
9.0421906,38.394985,Home Piped Water,In own yard/plot,No,,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,3,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,5,5,Electric connection through power lines/solar power,Electricity,Dirt,"Yes, somewhat safe",Rarely,60,75,15,15,60,Yes,2,Satisfied,No,3,20,Satisfied,Satisfied,Satisfied,Satisfied,40
9.0503988,38.508564,Home Piped Water,In own yard/plot,Yes,6,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,10,5,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe","No, not at all",60,60,20,20,60,Yes,20,Satisfied,Yes,3,25,Satisfied,Satisfied,Satisfied,Satisfied,41
9.0502586,38.51133,Home Piped Water,Outside the yard,Yes,5,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,No,5,6,Electric connection through power lines/solar power,Fire Wood,Gravel,"Yes, somewhat safe",Rarely,60,75,20,20,60,Yes,3,Satisfied,Yes,2.5,20,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,42
9.0485048,38.509804,Home Piped Water,In own yard/plot,Yes,3,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,2,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,No,4,6,Electric connection through power lines/solar power,Fire Wood,Gravel,"Yes, somewhat safe",Rarely,60,60,25,25,60,No,4,Satisfied,Yes,3,25,Satisfied,Satisfied,Satisfied,Satisfied,43
9.034318,38.516651,Unprotected spring water/Unprotected well,Outside the yard,No,,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,No,5,4,Electric connection through power lines/solar power,Fire Wood,Dirt,"No, somewhat unsafe","No, not at all",60,60,25,25,60,Yes,4,Satisfied,Yes,2.5,20,Satisfied,Satisfied,Satisfied,Satisfied,44
9.0524025,38.507526,Home Piped Water,In own yard/plot,Yes,10,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),Yes,3,Dumped,1,No,,A hole in the yard or outside,Yes,,Yes,Utility company/government,Other (specify),Yes,4,6,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe","No, not at all",60,60,15,15,60,Yes,3,Satisfied,Yes,1,10,Satisfied,Satisfied,Satisfied,Satisfied,45
9.0517235,38.507374,Unprotected spring water/Unprotected well,Outside the yard,No,,Yes,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),Yes,1,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,Yes,6,4,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe","No, not at all",60,-888,20,20,60,No,3,Satisfied,Yes,1,10,Satisfied,Satisfied,Satisfied,Satisfied,46
9.0541277,38.508183,Public Tap /Standpipe Water,Outside the yard,Yes,2,No,No,Satisfied,Yes,,,,,No facility/bush,,No,,Dumped,5,No,,A hole in the yard or outside,No,No,No,,,,,,Oil/kerosene lantern,Fire Wood,Gravel,"Yes, somewhat safe","Yes, most of the time",-888,-888,20,20,-888,Yes,3,Satisfied,Yes,2,15,Satisfied,Satisfied,Satisfied,Satisfied,47
9.0350685,38.479866,Public Tap /Standpipe Water,Outside the yard,Yes,2,No,No,Very Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Other (specify),5,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,No,10,12,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe","No, not at all",105,105,35,35,105,Yes,5,Satisfied,Yes,1,20,Satisfied,Satisfied,Satisfied,Satisfied,48
9.0514164,38.509396,Home Piped Water,In own yard/plot,Yes,4,No,Yes,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),Yes,1,Other (specify),5,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,30,1,Electric connection through power lines/solar power,Fire Wood,Dirt,"No, very unsafe",Rarely,70,150,60,15,80,Yes,3,Satisfied,Yes,1.5,40,Satisfied,Satisfied,Satisfied,Satisfied,49
9.0428839,38.481922,Public Tap /Standpipe Water,Outside the yard,No,,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,No,6,6,Electric connection through power lines/solar power,Fire Wood,Dirt,"No, somewhat unsafe","No, not at all",75,75,20,20,75,Yes,5,Satisfied,No,1,5,Satisfied,Satisfied,Satisfied,Satisfied,50
9.0415745,38.395741,Home Piped Water,Outside the yard,Don't know,,No,No,Satisfied,Yes,,,,,No facility/bush,,No,,Skip (dumpster),5,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,Yes,5,6,Electric connection through power lines/solar power,"Coal, Lignite",Dirt,"Yes, somewhat safe","No, not at all",90,90,10,10,90,Yes,3,Satisfied,No,-888,,Don't know,Don't know,Don't know,Don't know,51
9.0402174,38.477081,Public Tap /Standpipe Water,Outside the yard,No,,Yes,No,Dissatisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,5,6,Electric connection through power lines/solar power,Natural Gas,Gravel,"Yes, somewhat safe",Rarely,90,90,20,20,90,No,5,Neutral,Yes,1,10,Satisfied,Satisfied,Satisfied,Satisfied,52
9.0433702,38.479244,Public Tap /Standpipe Water,Outside the yard,No,,No,No,Satisfied,Yes,,,,,Pit latrine,Deep (more than 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,No,1,1,Electric connection through power lines/solar power,Fire Wood,Gravel,"Yes, somewhat safe",Rarely,45,45,15,15,45,No,5,Satisfied,Yes,1,5,Satisfied,Satisfied,Satisfied,Satisfied,53
9.0383663,38.478748,Home Piped Water,Outside the yard,No,,No,No,Satisfied,Yes,,,,,No facility/bush,,No,,Dumped,1,No,,A hole in the yard or outside,No,No,No,,,,,,Oil/kerosene lantern,Fire Wood,Dirt,"Yes, somewhat safe","No, not at all",-888,-888,20,20,-888,Yes,-888,Satisfied,No,1,10,Satisfied,Satisfied,Satisfied,Satisfied,54
9.0356998,38.477856,Public Tap /Standpipe Water,Outside the yard,No,,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,Yes,6,6,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe","No, not at all",60,60,15,15,60,No,4,Satisfied,Yes,2,15,Satisfied,Satisfied,Satisfied,Satisfied,55
9.0488758,38.510197,Unprotected spring water/Unprotected well,Outside the yard,No,,No,No,Satisfied,Yes,,,,,Pit latrine,Deep (more than 3 meters),Yes,1,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,Yes,3,6,Electric connection through power lines/solar power,Fire Wood,Gravel,"Yes, somewhat safe",Rarely,-888,-888,15,15,-888,No,3,Satisfied,Yes,2,15,Satisfied,Dissatisfied,Satisfied,Satisfied,56
9.0824366,38.514702,Home Piped Water,In own yard/plot,Yes,6,No,No,Satisfied,Yes,,,,,Pit latrine,Deep (more than 3 meters),No,,Burning,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,No,10,6,Electric connection through power lines/solar power,Fire Wood,Dirt,Neutral - neither safe or unsafe,"No, not at all",90,90,15,15,90,No,5,Dissatisfied,Yes,5,20,Satisfied,Satisfied,Satisfied,Satisfied,57
9.0534105,38.470562,Home Piped Water,Outside the yard,Yes,3,Yes,No,Satisfied,No,Borehole,Outside the yard,1,No,Pit latrine,Deep (more than 3 meters),No,,Dumped,30,No,,A hole in the yard or outside,No,No,No,,,,,,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe","No, not at all",90,90,15,15,90,Yes,3,Satisfied,Yes,2,40,Satisfied,Satisfied,Satisfied,Satisfied,58
9.0716267,38.502388,Home Piped Water,In own yard/plot,Yes,22,No,Yes,Dissatisfied,Yes,,,,,Pit latrine,Shallow (less than 3 meters),No,,Dumped,-777,No,,Discharge in open area/compound,No,No,Yes,Utility company/government,Paper bill,Yes,15,5,Electric connection through power lines/solar power,Charcoal,Tarmac/asphalt/paved - poor quality,"No, somewhat unsafe","Yes, most of the time",60,60,60,5,40,No,5,Very Dissatisfied,No,6,60,Don't know,Don't know,Don't know,Don't know,59
