eaelectricity,eapipedwater,easewage,eacellphone,eapostoffice,easchool,eapolicestation,eahealthclinic,eamarketstalls,eabank,earoad,eateacherservices,eamedicalservices,eahouseholdservices,eapoliceservices,eadocumentservices,eacourtservices,eametalroof,eagrassroof,eatileroof,eaformalhouse,eatraditionalhouse,eaflat,eanofood,eanowater,eanomedicine,eanofuel,eanocash,eaage,eaeducationlevel,ealivingconditions,earelativelivingconditions,eaownradio,eaowntelevision
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.875,0.5,0.0,0.6285714200000001,1.0,0.0,0.0,0.0,0.25,0.0,0.625,0.0,0.0,0.3548387096774194,0.0,0.3125,0.1256391501114365,0.7083333333333333,0.5,0.34375,0.75,1.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.56,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.5,0.25,0.0,0.5,0.375,0.0,0.14285714285714285,0.25,0.3225806451612903,0.2962962962962963,0.40625,0.37618699598593713,0.625,0.4375,0.46875,1.0,0.875
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5333333200000001,0.6000000000000001,0.66666666,0.7,0.6000000000000001,0.6000000000000001,0.125,0.375,0.0,0.75,0.25,0.0,0.25,0.15625,0.1935483870967742,0.18518518518518517,0.84375,0.3685171639693708,0.3333333333333333,0.65625,0.3125,0.625,0.625
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0.7,0.7,0.0,0.8500000000000001,0.0,1.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.16129032258064516,0.25925925925925924,0.34375,0.2585829050652531,0.7916666666666667,0.625,0.71875,0.5,0.625
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.75,0.66666666,0.73333334,0.75,0.8,0.0,0.0,0.0,0.875,0.0,0.0,0.14285714285714285,0.15625,0.29032258064516125,0.18518518518518517,0.46875,0.2406866303599317,0.625,0.59375,0.65625,0.5,0.5
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.66666666,0.0,0.0,0.43333332,0.0,0.0,0.0,0.0,0.125,0.0,0.75,0.03571428571428571,0.0625,0.03225806451612903,0.07407407407407407,0.21875,0.5934989031219835,0.75,0.5,0.46875,0.875,1.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8,0.55,0.4,0.46666668,0.45,0.4,0.125,0.0,0.875,0.25,0.625,0.0,0.14285714285714285,0.1875,0.16129032258064516,0.18518518518518517,0.1875,0.36340394262499326,0.75,0.625,0.5,1.0,0.75
1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6400000000000001,0.6000000000000001,0.9000000000000001,0.0,0.8,0.0,0.875,0.125,0.0,0.125,0.875,0.0,0.42857142857142855,0.5,0.5161290322580645,0.7037037037037037,0.625,0.48100803354567717,0.2916666666666667,0.40625,0.46875,0.25,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6400000000000001,0.75,0.6000000000000001,0.6000000000000001,0.7,0.6000000000000001,0.75,0.125,0.125,0.75,0.125,0.0,0.42857142857142855,0.25,0.06451612903225806,0.25925925925925924,0.5625,0.470781590856922,0.37499999999999994,0.34375,0.46875,0.25,0.125
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6000000000000001,0.56666668,0.7,0.0,0.5333333200000001,0.0,0.75,0.25,0.0,0.75,0.25,0.0,0.14285714285714285,0.625,0.18433180129032256,0.14814814814814814,0.59375,0.11796931809487016,0.20833333333333331,0.59375,0.40625,0.25,0.125
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.8,0.9000000000000001,0.8,0.76,0.8,0.625,0.25,0.0,0.375,0.25,0.125,0.25,0.53125,0.3548387096774194,0.2222222222222222,0.6875,0.3173849505255952,0.6666666666666667,0.59375,0.6785714,1.0,0.875
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6000000000000001,0.5,0.0,0.52,0.8,0.875,0.0,0.0,1.0,0.0,0.0,0.17857142857142855,0.09375,0.25806451612903225,0.25925925925925924,0.59375,0.29948867582027366,0.75,0.59375,0.535714275,0.625,0.625
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.6000000000000001,0.0,0.0,0.8,0.9000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.47589481220129964,0.9166666666666667,0.78125,0.59375,0.875,1.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.66666666,0.8500000000000001,0.8,0.0,0.73333334,0.0,1.0,0.0,0.0,0.375,0.625,0.0,0.21428571428571427,0.9375,0.9032258064516129,0.37037037037037035,0.6875,0.33016800388653905,0.49999999999999994,0.3125,0.5,0.25,0.625
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666600000001,0.8,0.8,0.8,0.6000000000000001,1.0,1.0,0.0,0.0,0.5,0.375,0.0,0.21428571428571427,0.0625,0.3225806451612903,0.2222222222222222,0.5,0.47589481220129964,0.5833333333333333,0.1875,0.4375,1.0,0.875
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.73333334,0.0,0.0,0.8,0.0,0.5,0.5,0.0,0.25,0.375,0.125,0.2857142857142857,0.125,0.3548387096774194,0.48148148148148145,0.59375,0.5781592390888508,0.125,0.4375,0.4375,0.875,0.25
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.7,0.7,0.73333334,0.7,0.8,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.30971511850902883,0.75,0.65625,0.71875,0.625,0.5
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73333334,0.65,0.0,0.0,0.6000000000000001,0.0,0.875,0.125,0.0,0.25,0.75,0.0,0.14285714285714285,0.34375,0.29032258064516125,0.3333333333333333,0.375,0.12308253943924768,0.6666666666666667,0.53125,0.46875,0.125,0.25
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.65,0.8,0.5,0.5333333200000001,0.7,0.25,0.5,0.0,1.0,0.0,0.0,0.2857142857142857,0.34375,0.29032258064516125,0.4074074074074074,0.84375,0.42731920942971274,0.37499999999999994,0.625,0.4375,0.75,0.75
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.7,0.66666666,0.8,0.75,0.8,1.0,0.0,0.0,0.5,0.0,0.125,0.14285714285714285,0.03125,0.0967741935483871,0.18518518518518517,0.15625,0.29437545447589614,0.875,0.46875,0.6875,0.75,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.68000002,0.65,0.75,0.6400000000000001,0.73333334,0.0,0.0,0.0,0.875,0.0,0.125,0.07142857142857142,0.1875,0.06451612903225806,0.1111111111111111,0.53125,0.3710737746415596,0.9583333333333333,0.40625,0.5625,0.75,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.95,1.0,0.9000000000000001,0.8666666600000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.1111111111111111,0.15625,0.6778670553042134,0.4166666666666667,0.40625,0.53125,0.5,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.8,0.6000000000000001,0.0,0.74285712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1875,0.06451612903225806,0.037037037037037035,0.21875,0.44777209480722296,0.4583333333333333,0.59375,0.53125,0.5,0.875
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.75,0.8,0.73333334,0.8,1.0,0.875,0.0,0.0,0.125,0.75,0.0,0.46428571428571425,0.78125,0.5483870967741935,0.5555555555555556,0.625,0.43243243077409027,0.20833333333333331,0.375,0.5,0.75,0.125
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.56,0.6000000000000001,0.7199999800000001,0.73333334,0.6285714200000001,0.6000000000000001,1.0,0.0,0.0,0.875,0.0,0.0,0.2857142857142857,0.46875,0.29032258064516125,0.18518518518518517,0.3125,0.5577063537113407,0.5416666666666667,0.375,0.4375,0.625,0.25
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.65714288,0.7,0.5,0.52,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.09375,0.16129032258064516,0.4074074074074074,0.5,0.23046018767117654,0.625,0.5,0.5,0.5,0.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7199999800000001,0.8666666600000001,0.6000000000000001,0.56,0.6000000000000001,0.42857143,0.14285715,0.14285715,0.71428573,0.14285715,0.0,0.12244897999999999,0.14285715,0.22119816,0.2962962962962963,0.428571425,0.14317019764257172,0.7619047999999999,0.6071428749999999,0.666666675,0.5714286,0.5714286
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.75,0.0,0.7,0.6000000000000001,0.4,0.5,0.0,0.0,0.875,0.0,0.125,0.21428571428571427,0.625,0.16129032258064516,0.2962962962962963,0.40625,0.15376186750551307,0.6666666666666667,0.75,0.65625,0.75,0.625
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.73333334,0.65,0.6000000000000001,0.6000000000000001,0.7199999800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.03571428571428571,0.0,0.0967741935483871,0.4074074074074074,0.03125,0.4222059880853352,0.5833333333333333,0.59375,0.5,0.625,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9000000000000001,0.7199999800000001,0.0,0.0,0.6000000000000001,0.0,1.0,0.0,0.0,0.375,0.5,0.0,0.6428571428571428,0.8125,0.8387096774193548,0.5925925925925926,0.84375,0.6139517884994938,0.49999999999999994,0.25,0.375,0.375,0.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6000000000000001,1.0,0.0,0.0,0.625,0.375,0.0,0.2857142857142857,0.09375,0.06451612903225806,0.07407407407407407,0.5,0.2867056224593298,0.7083333333333333,0.46875,0.4375,0.75,1.0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.73333334,0.0,0.8,0.7199999800000001,0.0,0.125,0.0,0.0,0.625,0.0,0.25,0.42857142857142855,0.125,0.5161290322580645,0.5185185185185185,0.53125,0.31227172918121754,0.0,0.40625,0.53125,0.75,0.125
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9000000000000001,0.8,0.88000002,0.6857143,0.88000002,0.0,0.0,0.0,0.625,0.25,0.0,0.0,0.125,0.12903225806451613,0.18518518518518517,0.1875,0.2406866303599317,0.4583333333333333,0.46875,0.53125,1.0,1.0
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.8,0.6000000000000001,0.5,0.68000002,0.6000000000000001,0.5,0.25,0.0,0.75,0.25,0.0,0.3571428571428571,0.3125,0.3870967741935484,0.2222222222222222,0.535714275,0.30971511850902883,0.5833333333333333,0.59375,0.46875,0.5,0.625
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.88000002,0.9000000000000001,0.91999998,0.95,0.95,0.9000000000000001,1.0,0.0,0.0,0.0,0.0,0.375,0.03571428571428571,0.0,0.0,0.14814814814814814,0.3125,0.14864864616113554,0.7916666666666667,0.6875,0.4375,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73333334,0.8666666600000001,0.6000000000000001,0.6000000000000001,0.7,0.8,0.125,0.0,0.0,0.625,0.0,0.125,0.25,0.3125,0.3870967741935484,0.2962962962962963,0.65625,0.10774287540611499,0.7916666666666667,0.46875,0.4375,0.375,0.25
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.73333334,0.7199999800000001,0.0,0.4,0.75,0.6000000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.25806451612903225,0.14814814814814814,0.25,0.4043097133800137,0.5555555666666667,0.34375,0.5,0.5,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6000000000000001,0.6000000000000001,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.25,0.3225806451612903,0.5185185185185185,0.40625,0.3582907212806156,0.5833333333333333,0.28125,0.59375,0.5,0.75
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.7,1.0,0.0,0.6000000000000001,0.0,0.75,0.125,0.0,0.125,0.75,0.0,0.7857142857142857,0.78125,0.6774193548387096,0.7037037037037037,0.78125,0.5653761857279069,0.0,0.1875,0.25,0.875,0.125
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.55,0.5142857000000001,1.0,0.6000000000000001,0.56,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.21428571428571427,0.25,0.06451612903225806,0.2222222222222222,0.40625,0.6676406126154584,0.37499999999999994,0.34375,0.46875,0.75,0.625
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6000000000000001,0.7142857,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.2857142857142857,0.1875,0.3225806451612903,0.2962962962962963,0.6875,0.42731920942971274,0.20833333333333331,0.375,0.3125,0.375,0.0
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.9000000000000001,0.8,0.8,0.73333334,0.0,0.85714287,0.0,0.0,0.71428573,0.14285715,0.0,0.24489796285714285,0.535714275,0.15483871483870967,0.2962962962962963,0.5714286,0.28341857789165387,0.7142857,0.458333325,0.6428571250000001,1.0,0.85714287
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.0,0.0,0.76,0.6000000000000001,0.875,0.0,0.0,1.0,0.0,0.0,0.39285714285714285,0.5,0.16129032258064516,0.18518518518518517,0.5,0.11285609675049257,0.49999999999999994,0.6875,0.46875,0.25,0.5
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8,0.76666666,0.8,0.6000000000000001,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.25,0.29032258064516125,0.37037037037037035,0.25,0.3838568280025035,0.6666666666666667,0.5,0.4375,0.875,1.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6000000000000001,0.8,0.0,0.8,0.9000000000000001,0.0,1.0,0.0,0.0,0.25,0.75,0.0,0.6071428571428571,0.875,0.6451612903225806,0.48148148148148145,0.875,0.4528853161516006,0.49999999999999994,0.1875,0.5,0.375,0.625
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8,0.68000002,0.8,0.0,0.6000000000000001,0.0,0.375,0.625,0.0,0.0,1.0,0.0,0.3214285714285714,1.0,0.25806451612903225,0.18518518518518517,0.46875,0.3864134386746923,0.49999999999999994,0.4375,0.4375,0.875,0.125
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8,0.8,0.0,0.0,0.83333334,1.0,0.375,0.125,0.0,0.75,0.0,0.125,0.14285714285714285,0.09375,0.12903225806451613,0.2222222222222222,0.4375,0.5040175295953762,0.24999999999999994,0.5,0.5625,0.75,0.25
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91999998,0.95,1.0,0.8400000000000001,0.9000000000000001,0.8,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0.03125,0.4838709677419355,0.0,0.28125,0.36340394262499326,0.7916666666666667,0.53125,0.46875,1.0,1.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.6000000000000001,0.66666666,0.8,0.5333333200000001,0.0,0.875,0.125,0.0,0.5,0.375,0.0,0.17857142857142855,0.25,0.25806451612903225,0.18518518518518517,0.3125,0.18188458489958964,0.625,0.5625,0.5714286,0.875,0.75
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666600000001,0.8500000000000001,0.95,0.9000000000000001,1.0,0.8500000000000001,1.0,0.0,0.0,0.0,0.0,0.25,0.14285714285714285,0.125,0.0967741935483871,0.14814814814814814,0.21875,0.21256391296585503,0.7083333333333333,0.5,0.65625,1.0,1.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.66666666,0.66666666,0.7,0.8,0.8,0.0,0.0,0.0,0.125,1.0,0.0,0.0,0.21428571428571427,0.1875,0.3870967741935484,0.2222222222222222,0.5,0.4170927667409577,0.5416666666666667,0.53125,0.5,0.875,0.625
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.66666666,0.6000000000000001,0.0,0.52,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.037037037037037035,0.09375,0.6855368873207799,0.625,0.59375,0.65625,0.75,0.875
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46666668,0.575,0.8,0.8,0.5,0.4,0.75,0.25,0.0,0.125,0.625,0.0,0.07142857142857142,0.28125,0.1935483870967742,0.1111111111111111,0.625,0.33016800388653905,0.4166666666666667,0.59375,0.5625,0.875,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.56,0.8,0.68000002,0.7,0.73333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34550766791967175,0.625,0.5,0.5625,0.125,0.875
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.55,0.675,0.8,0.0,0.8285714200000001,0.0,0.875,0.125,0.0,0.0,0.75,0.0,0.75,0.5625,0.6451612903225806,0.8518518518518519,0.875,0.4375456521184679,0.16666666666666669,0.25,0.34375,0.5,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46666668,0.6000000000000001,0.4,0.5,0.5333333200000001,0.4,0.25,0.75,0.0,0.375,0.5,0.0,0.14285714285714285,0.09375,0.22580645161290322,0.037037037037037035,0.34375,0.6676406126154584,0.3333333333333333,0.53125,0.5625,0.75,0.125
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8,0.65714288,0.6000000000000001,0.0,0.6000000000000001,0.0,0.625,0.375,0.0,0.625,0.375,0.0,0.46428571428571425,0.40625,0.45161290322580644,0.14814814814814814,0.6875,0.647187727237948,0.16666666666666669,0.375,0.4375,0.625,0.125
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6333333400000001,0.68000002,0.6000000000000001,0.5,0.8,0.4,0.5,0.125,0.25,0.75,0.125,0.125,0.07142857142857142,0.25,0.16129032258064516,0.18518518518518517,0.59375,0.25091307304868676,0.7916666666666667,0.5,0.65625,0.875,0.75
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66666666,0.46666668,0.0,0.6000000000000001,0.76,0.0,0.75,0.25,0.0,0.5,0.5,0.0,0.39285714285714285,0.71875,0.5161290322580645,0.14814814814814814,0.75,0.2585829050652531,0.5416666666666667,0.3125,0.4375,0.5,0.375
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.65,0.76666666,0.76,0.6000000000000001,0.66666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.125,0.16129032258064516,0.07407407407407407,0.25,0.506574140267565,0.49999999999999994,0.59375,0.6428571250000001,1.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9000000000000001,0.7,1.0,0.6000000000000001,0.9000000000000001,0.8,1.0,0.0,0.0,0.875,0.125,0.0,0.6785714285714285,0.5625,0.7419354838709677,0.7777777777777777,0.875,0.4554419268237893,0.7916666666666667,0.25,0.3125,0.5,0.875
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.625,0.375,0.0,0.21428571428571427,0.5625,0.25806451612903225,0.25925925925925924,0.34375,0.3224981718699727,0.5833333333333333,0.5625,0.5,0.75,0.75
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.8,0.0,0.0,0.7,0.0,0.5,0.5,0.0,0.0,0.625,0.125,0.5714285714285714,0.28125,0.4838709677419355,0.48148148148148145,0.65625,0.6062819564829276,0.041666666666666685,0.3125,0.53125,0.5,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68000002,0.8,0.65,0.8,0.66666666,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.07142857142857142,0.0,0.1935483870967742,0.1111111111111111,0.125,0.34550766791967175,0.5833333333333333,0.59375,0.53125,0.625,1.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.65,0.7199999800000001,1.0,0.0,0.7,0.0,0.875,0.125,0.0,0.875,0.125,0.0,0.25,0.34375,0.29032258064516125,0.25925925925925924,0.46875,0.3173849505255952,0.625,0.5,0.5,0.5,1.0
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6400000000000001,0.7,0.8,0.0,0.6000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.07407407407407407,0.125,0.38130021733031466,0.7083333333333333,0.4375,0.6785714,0.5,0.625
1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.65,0.8666666600000001,1.0,0.9000000000000001,0.8,0.9000000000000001,0.375,0.0,0.0,0.375,0.0,0.125,0.6428571428571428,0.5625,0.4838709677419355,0.48148148148148145,0.875,0.40942293472439134,0.4583333333333333,0.21875,0.40625,0.5,0.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.8,0.0,0.8,0.6000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.125,0.4989043082509987,0.5416666666666667,0.46875,0.40625,0.5,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.6000000000000001,0.44,0.4,0.45714286000000004,0.4,0.0,0.0,0.0,0.125,0.125,0.75,0.0,0.03125,0.03225806451612903,0.037037037037037035,0.0625,0.44777209480722296,0.5833333333333333,0.5,0.3125,0.5,0.375
